Experiment_ID,Cell_Line,Cell_Type,Synthesis_Method,Surface_Coating,Core_Size_nm,Zeta_Potential_mV,Concentration,Exposure_Time,Cell_Viability,ROS,LDH,Apoptosis,Hemolysis,Comet_Tail_Moment,Selectivity_Index,Toxicity_Score,IC50,Risk_Level,ISO_10993_Status
EXP-ZNO-000028,L929,Normal,Hydrothermal,Silica_Coated,94.2,-6.1,16.78,24,88.95,7.84,7.43,4.41,0.1,1.92,1.0,5.78,71.4,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000029,HeLa,Cancer,Green_Synthesis,PEG_Coated,81.1,-12.6,79.56,48,36.17,14.53,17.64,31.47,1.63,7.16,1.13,28.19,57.37,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000030,PBMCs,Normal,Green_Synthesis,Silica_Coated,78.3,20.3,3.85,72,95.93,1.46,0.0,6.31,0.1,1.61,1.0,1.82,49.36,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000031,MCF-7,Cancer,Sol-Gel,Silica_Coated,75.9,8.3,4.23,6,97.32,0.44,2.09,0.0,0.1,1.0,1.14,2.02,56.86,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000032,CHO,Normal,Hydrothermal,PEG_Coated,34.9,-11.9,20.45,24,87.6,0.0,7.55,8.6,0.34,2.21,1.0,6.5,75.08,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000033,HEK293,Normal,Green_Synthesis,Chitosan_Coated,34.0,-7.0,23.23,72,80.94,9.24,4.3,8.62,0.33,2.27,1.0,7.63,61.27,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000034,HepG2,Cancer,Sol-Gel,Silica_Coated,35.2,13.7,3.25,72,95.92,0.7,0.0,6.81,0.19,1.44,2.27,2.81,28.59,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000035,Primary_HDF,Normal,Hydrothermal,Silica_Coated,23.5,-11.5,7.01,48,100.0,0.0,0.0,0.0,0.1,1.1,1.0,0.01,59.31,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000036,L929,Normal,Green_Synthesis,Bare_ZnO,63.2,-16.0,5.5,48,100.0,0.0,0.36,2.59,0.1,1.0,1.0,0.18,66.69,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000037,Jurkat,Cancer,Green_Synthesis,PEG_Coated,45.1,17.5,17.97,6,94.96,2.17,0.51,7.67,0.16,1.91,0.88,3.61,73.91,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000038,HepG2,Cancer,Green_Synthesis,PEG_Coated,45.2,-18.1,8.53,12,95.92,0.0,1.92,1.6,0.1,1.14,0.75,1.81,86.99,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000039,A549,Cancer,Sol-Gel,PEG_Coated,80.3,32.8,3.74,48,100.0,0.0,0.0,1.48,0.5,1.37,1.68,0.24,38.76,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000040,MCF-7,Cancer,Chemical_Precipitation,PEG_Coated,22.3,15.8,28.25,24,68.15,12.72,15.33,25.95,0.68,4.13,1.55,30.03,41.86,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000041,Primary_HDF,Normal,Hydrothermal,Bare_ZnO,76.5,-30.4,2.14,12,100.0,1.13,0.0,1.21,0.1,2.22,1.0,0.24,96.36,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000042,PBMCs,Normal,Chemical_Precipitation,Silica_Coated,29.6,-10.8,79.98,48,32.99,34.88,28.07,44.22,1.73,10.51,1.0,44.47,41.87,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000043,HepG2,Cancer,Chemical_Precipitation,Bare_ZnO,51.9,-20.6,16.35,72,71.13,26.24,25.54,23.06,0.77,3.85,2.47,28.24,26.31,Moderate,ISO-Pass (Viable >=70%)
EXP-ZNO-000044,CHO,Normal,Hydrothermal,Chitosan_Coated,75.8,2.2,45.12,12,77.42,5.85,9.14,15.14,0.1,2.18,1.0,12.16,88.33,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000045,L929,Normal,Sol-Gel,Bare_ZnO,16.6,-12.5,8.81,48,93.31,4.92,6.04,6.15,0.4,1.08,1.0,4.17,53.35,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000046,Jurkat,Cancer,Chemical_Precipitation,Chitosan_Coated,60.2,-8.5,14.91,6,88.75,9.62,6.86,7.6,0.32,1.95,1.29,13.08,50.22,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000047,HepG2,Cancer,Chemical_Precipitation,Bare_ZnO,83.1,-28.8,57.87,48,27.89,70.77,63.59,60.34,4.34,10.92,2.14,72.31,30.32,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000048,Primary_HDF,Normal,Sol-Gel,Bare_ZnO,31.4,32.8,43.94,48,63.29,19.4,23.89,18.65,1.08,4.4,1.0,18.17,56.49,Low,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000049,PBMCs,Normal,Sol-Gel,Silica_Coated,57.6,-31.4,14.86,72,84.5,10.86,8.07,7.74,1.19,1.51,1.0,9.9,39.49,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000050,HeLa,Cancer,Green_Synthesis,PEG_Coated,92.2,-26.3,46.44,48,58.24,8.85,13.49,22.56,0.51,4.29,1.13,18.67,57.37,Low,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000051,Caco-2,Normal,Chemical_Precipitation,Chitosan_Coated,29.9,-18.5,35.66,72,53.82,25.64,21.97,38.21,0.46,5.35,1.0,34.56,37.58,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000052,HeLa,Cancer,Sol-Gel,Chitosan_Coated,33.6,28.0,17.45,6,96.88,1.61,0.0,2.9,0.14,1.93,0.74,2.03,87.72,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000053,NIH-3T3,Normal,Chemical_Precipitation,Silica_Coated,78.5,8.4,27.18,48,72.05,12.21,8.94,19.29,0.1,3.37,1.0,16.1,46.92,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000054,Primary_HDF,Normal,Green_Synthesis,Chitosan_Coated,42.4,22.5,4.6,12,100.0,0.0,0.0,0.0,0.39,1.56,1.0,0.02,137.65,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000055,A549,Cancer,Sol-Gel,Silica_Coated,72.3,6.9,61.87,48,24.15,49.07,37.33,65.75,1.71,11.67,2.18,67.55,29.81,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000056,NIH-3T3,Normal,Hydrothermal,Chitosan_Coated,23.2,29.3,55.14,48,54.39,18.64,12.73,23.03,0.7,4.55,1.0,21.69,64.26,Low,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000057,HeLa,Cancer,Sol-Gel,PEG_Coated,62.3,-7.1,2.47,24,98.01,3.15,0.0,0.82,0.26,1.74,1.11,1.63,58.5,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000058,HeLa,Cancer,Hydrothermal,Chitosan_Coated,51.2,-25.1,7.29,24,88.47,4.49,3.94,9.41,0.78,1.95,1.15,7.31,56.7,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000059,Caco-2,Normal,Chemical_Precipitation,Bare_ZnO,29.2,32.3,6.13,6,97.53,2.2,2.33,0.11,0.11,1.0,1.0,2.01,74.73,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000060,A549,Cancer,Chemical_Precipitation,Silica_Coated,65.0,-8.6,63.9,72,10.7,67.23,53.63,87.06,2.7,17.12,2.73,93.26,23.8,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000061,Jurkat,Cancer,Sol-Gel,Chitosan_Coated,29.6,25.3,102.73,48,9.59,48.54,54.73,87.78,4.98,18.0,2.47,91.64,26.36,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000062,CHO,Normal,Hydrothermal,PEG_Coated,79.0,-22.5,37.52,6,84.65,3.22,6.46,6.84,0.19,2.22,1.0,7.89,121.96,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000063,HCT-116,Cancer,Hydrothermal,Bare_ZnO,47.5,-12.3,3.68,72,98.64,2.42,3.43,2.49,0.23,1.0,2.84,2.32,22.87,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000064,MCF-7,Cancer,Sol-Gel,Chitosan_Coated,81.5,-10.8,52.53,48,32.96,34.53,33.68,59.3,1.39,8.89,1.97,60.24,32.95,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000065,HEK293,Normal,Hydrothermal,Silica_Coated,53.8,0.9,47.88,6,81.05,10.31,3.89,8.1,0.2,2.96,1.0,9.69,102.34,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000066,HepG2,Cancer,Sol-Gel,PEG_Coated,57.4,22.1,24.63,12,85.29,2.56,9.74,10.76,0.1,1.84,0.93,10.16,69.59,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000067,PBMCs,Normal,Hydrothermal,PEG_Coated,65.6,-0.4,30.31,48,79.26,3.9,9.49,13.07,0.14,2.79,1.0,10.75,62.12,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000068,HCT-116,Cancer,Green_Synthesis,Chitosan_Coated,90.9,-7.2,108.34,24,18.69,30.34,33.45,51.2,2.19,12.81,1.35,51.69,48.0,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000069,HeLa,Cancer,Chemical_Precipitation,Chitosan_Coated,27.4,8.6,23.0,72,60.33,23.51,16.24,28.18,1.31,4.33,1.92,30.73,33.82,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000070,HeLa,Cancer,Green_Synthesis,Bare_ZnO,70.2,1.5,3.67,12,100.0,2.07,2.09,3.42,0.57,1.64,0.91,0.84,71.69,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000071,L929,Normal,Green_Synthesis,PEG_Coated,62.1,35.0,28.9,12,89.61,2.81,0.5,3.61,0.1,2.35,1.0,3.2,140.84,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000072,HCT-116,Cancer,Sol-Gel,Chitosan_Coated,56.8,10.1,37.26,12,63.31,14.24,22.22,33.26,0.1,4.89,1.33,33.84,48.94,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000073,HEK293,Normal,Hydrothermal,Chitosan_Coated,58.1,11.3,47.36,6,80.11,6.17,9.11,11.88,0.17,2.75,1.0,10.3,122.81,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000074,PBMCs,Normal,Sol-Gel,PEG_Coated,19.2,-28.8,1.84,48,100.0,0.0,0.0,0.0,0.1,1.0,1.0,0.01,59.16,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000075,HCT-116,Cancer,Green_Synthesis,Bare_ZnO,23.8,-10.2,12.35,6,90.54,7.74,7.5,10.33,0.1,2.11,1.0,7.77,64.98,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000076,NIH-3T3,Normal,Sol-Gel,PEG_Coated,94.1,17.0,2.85,72,100.0,0.0,1.55,0.0,0.1,1.07,1.0,0.19,57.53,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000077,Primary_HDF,Normal,Sol-Gel,Silica_Coated,19.6,32.8,75.83,72,29.89,29.5,24.71,35.21,1.38,8.24,1.0,31.37,49.02,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000078,L929,Normal,Green_Synthesis,Silica_Coated,22.3,26.4,11.3,72,94.33,5.01,0.0,2.49,0.1,1.01,1.0,2.14,57.87,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000079,NIH-3T3,Normal,Sol-Gel,Bare_ZnO,57.6,32.3,4.56,12,99.49,5.94,2.36,3.04,0.1,1.22,1.0,1.67,82.85,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000080,NIH-3T3,Normal,Hydrothermal,Bare_ZnO,84.4,14.6,63.99,24,55.98,31.94,28.55,25.04,1.45,5.24,1.0,25.18,68.25,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000081,PBMCs,Normal,Green_Synthesis,PEG_Coated,80.4,23.2,25.29,12,93.26,0.0,3.37,4.73,0.92,1.54,1.0,2.71,120.13,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000082,HEK293,Normal,Chemical_Precipitation,Bare_ZnO,42.3,9.3,94.6,12,36.59,50.98,47.15,38.94,2.57,7.07,1.0,46.71,70.36,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000083,HeLa,Cancer,Chemical_Precipitation,PEG_Coated,83.2,34.3,39.95,24,61.67,7.43,17.69,32.36,0.15,4.09,1.21,27.1,53.82,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000084,HCT-116,Cancer,Green_Synthesis,Chitosan_Coated,83.3,1.9,61.69,72,30.12,27.47,26.3,49.52,1.79,10.77,1.99,44.87,32.68,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000085,HepG2,Cancer,Sol-Gel,Silica_Coated,36.9,33.9,18.93,24,79.43,8.18,13.33,14.91,0.72,2.9,1.55,15.18,42.0,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000086,PBMCs,Normal,Chemical_Precipitation,PEG_Coated,16.4,20.8,12.69,48,91.84,0.0,0.0,7.04,0.1,1.94,1.0,4.25,54.43,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000087,Caco-2,Normal,Sol-Gel,PEG_Coated,36.5,20.8,13.51,72,87.12,3.12,2.41,14.75,0.1,2.6,1.0,7.85,44.25,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000088,HeLa,Cancer,Hydrothermal,PEG_Coated,18.2,-1.4,4.38,6,99.13,0.0,4.04,2.77,0.1,1.12,0.65,1.22,99.79,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000089,Caco-2,Normal,Green_Synthesis,PEG_Coated,22.0,-10.5,1.68,6,97.87,1.04,0.0,3.53,0.25,1.0,1.0,1.1,131.99,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000090,HeLa,Cancer,Hydrothermal,Chitosan_Coated,71.5,-32.8,96.83,72,18.89,30.81,33.53,54.92,2.77,14.89,1.68,50.79,38.6,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000091,PBMCs,Normal,Sol-Gel,Chitosan_Coated,86.6,3.3,60.0,24,55.07,22.01,16.8,26.05,0.35,4.61,1.0,26.21,69.6,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000092,HEK293,Normal,Chemical_Precipitation,Silica_Coated,29.6,20.3,38.13,72,57.68,21.57,15.47,29.58,0.4,5.86,1.0,26.81,37.58,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000093,A549,Cancer,Green_Synthesis,Bare_ZnO,82.2,-22.8,113.85,6,32.53,55.77,47.44,42.58,3.5,8.65,0.84,47.92,77.16,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000094,L929,Normal,Hydrothermal,PEG_Coated,46.6,7.4,32.37,72,80.93,7.44,1.39,5.64,0.69,2.95,1.0,7.77,63.19,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000095,HeLa,Cancer,Sol-Gel,PEG_Coated,87.7,-22.4,9.99,48,95.78,2.89,0.5,4.88,0.1,2.3,1.42,3.05,45.9,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000096,Jurkat,Cancer,Green_Synthesis,Chitosan_Coated,92.6,-16.9,37.92,6,73.09,9.46,7.35,18.39,0.1,3.35,0.95,17.16,68.23,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000097,L929,Normal,Green_Synthesis,Bare_ZnO,62.0,31.4,10.69,48,89.68,0.02,7.37,7.8,0.2,1.27,1.0,3.69,66.69,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000098,Jurkat,Cancer,Hydrothermal,Chitosan_Coated,17.7,34.1,5.09,72,91.29,6.64,5.09,5.58,0.1,2.51,2.71,8.44,24.02,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000099,MCF-7,Cancer,Hydrothermal,Chitosan_Coated,16.4,-12.4,127.04,24,18.92,34.56,40.45,64.73,2.96,17.05,1.47,66.78,44.1,High,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000100,NIH-3T3,Normal,Chemical_Precipitation,Bare_ZnO,73.5,-24.1,9.86,6,97.54,1.76,3.29,0.22,0.22,1.54,1.0,1.76,97.15,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000101,PBMCs,Normal,Hydrothermal,Bare_ZnO,69.1,-19.9,38.14,48,57.04,31.44,25.05,24.98,1.34,4.59,1.0,26.76,47.78,Moderate,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000102,CHO,Normal,Sol-Gel,Bare_ZnO,85.3,-6.7,14.36,24,93.68,6.54,6.07,5.57,0.77,1.77,1.0,5.13,55.0,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000103,NIH-3T3,Normal,Chemical_Precipitation,PEG_Coated,41.3,9.1,33.44,6,89.65,9.35,5.85,1.0,0.78,1.93,1.0,6.67,126.29,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000104,NIH-3T3,Normal,Chemical_Precipitation,PEG_Coated,75.7,0.0,27.86,12,84.11,4.67,0.0,8.46,0.73,2.14,1.0,7.92,99.08,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000105,Caco-2,Normal,Sol-Gel,Chitosan_Coated,80.8,-4.8,79.96,72,30.93,27.6,23.54,44.76,1.53,11.31,1.0,42.52,40.85,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000106,PBMCs,Normal,Green_Synthesis,Chitosan_Coated,58.1,-13.2,33.49,48,77.05,9.26,3.79,10.04,0.47,2.43,1.0,9.11,68.26,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000107,Primary_HDF,Normal,Sol-Gel,Bare_ZnO,60.4,-17.0,115.82,6,50.24,27.87,26.28,25.56,1.7,6.05,1.0,24.24,116.96,Low,ISO-Warning (Mild Cytotoxicity 50-70%)
EXP-ZNO-000108,Jurkat,Cancer,Hydrothermal,Bare_ZnO,32.0,7.8,19.03,12,72.45,27.95,24.7,26.97,0.53,3.62,1.73,31.35,37.47,Moderate,ISO-Pass (Viable >=70%)
EXP-ZNO-000109,Primary_HDF,Normal,Green_Synthesis,PEG_Coated,64.9,-3.4,31.42,24,88.42,0.75,3.19,7.32,0.73,1.16,1.0,3.49,117.0,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000110,CHO,Normal,Green_Synthesis,Bare_ZnO,94.0,-25.4,42.08,6,79.76,5.87,12.69,12.32,0.55,2.13,1.0,9.09,111.68,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000111,Primary_HDF,Normal,Hydrothermal,Chitosan_Coated,21.4,-29.0,79.11,72,37.5,15.72,14.08,29.18,0.63,7.17,1.0,24.18,61.76,Low,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000112,Jurkat,Cancer,Hydrothermal,PEG_Coated,57.6,-12.3,14.67,24,82.18,12.64,7.06,20.31,0.17,2.09,1.7,17.51,38.22,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000113,HCT-116,Cancer,Green_Synthesis,Bare_ZnO,70.2,-20.9,27.36,72,47.28,41.49,41.64,38.71,1.92,4.98,2.39,41.27,27.23,Moderate,ISO-Fail (Severe Cytotoxicity <50%)
EXP-ZNO-000114,HepG2,Cancer,Hydrothermal,Silica_Coated,34.5,12.0,3.91,48,99.39,0.0,1.02,2.93,0.1,1.34,1.88,0.73,34.6,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000115,CHO,Normal,Chemical_Precipitation,Silica_Coated,33.2,-11.1,17.28,6,89.24,9.82,4.89,7.94,0.1,1.88,1.0,8.26,82.2,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000116,Caco-2,Normal,Green_Synthesis,Silica_Coated,55.1,-7.2,27.66,12,91.38,6.64,7.2,4.95,0.1,2.04,1.0,4.84,79.66,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000117,L929,Normal,Sol-Gel,Bare_ZnO,28.9,13.6,15.37,24,92.63,4.02,4.64,10.03,0.1,1.43,1.0,4.37,68.0,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000118,A549,Cancer,Sol-Gel,Bare_ZnO,68.3,-26.5,23.27,6,79.75,20.76,18.83,14.59,0.71,2.17,1.05,21.14,61.73,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000119,CHO,Normal,Sol-Gel,PEG_Coated,67.0,-24.4,2.72,12,100.0,0.45,0.0,0.0,0.1,1.0,1.0,0.09,91.13,Low,ISO-Pass (Viable >=70%)
EXP-ZNO-000120,HCT-116,Cancer,Hydrothermal,Chitosan_Coated,33.6,-19.5,7.18,6,100.0,1.28,2.19,1.68,0.72,1.0,0.99,1.02,65.5,Low,ISO-Pass (Viable >=70%)
