Experiment_ID,Cell_Line,Concentration,Exposure_Time,ROS,LDH,Apoptosis,Cell_Viability,Toxicity_Score,IC50,Safe_Range
EXP-ZNO-00085,PC12,189.48,12,100.0,81.15,75.64,6.44,103.84,50.98,0 - 22.94
EXP-ZNO-00086,HEK293,184.54,72,70.52,67.15,60.56,5.0,68.65,40.85,0 - 18.38
EXP-ZNO-00087,HepG2,147.42,24,77.45,71.97,58.52,13.47,82.24,42.0,0 - 18.9
EXP-ZNO-00088,Jurkat,67.37,72,96.61,93.97,85.23,6.58,120.79,20.42,0 - 9.19
EXP-ZNO-00089,MCF-7,96.43,12,81.63,65.01,68.79,24.95,92.4,44.61,0 - 20.07
EXP-ZNO-00090,HepG2,3.11,12,6.49,1.11,3.15,95.04,4.64,53.53,0 - 24.09
EXP-ZNO-00091,CHO,60.27,6,37.2,26.91,24.85,58.43,32.39,89.35,0 - 40.21
EXP-ZNO-00092,HeLa,75.86,72,68.51,59.97,49.58,24.89,67.69,30.64,0 - 13.79
EXP-ZNO-00093,MCF-7,107.12,12,95.82,86.64,78.39,8.47,112.1,44.61,0 - 20.07
EXP-ZNO-00094,A549,54.51,12,66.68,55.92,52.95,41.5,70.7,48.43,0 - 21.79
EXP-ZNO-00095,HeLa,44.78,6,26.94,27.33,20.25,65.84,29.61,73.1,0 - 32.9
EXP-ZNO-00096,MCF-7,49.01,24,67.12,56.39,57.29,38.5,76.53,35.0,0 - 15.75
EXP-ZNO-00097,NIH-3T3,81.58,72,54.73,46.18,41.57,27.53,48.27,44.25,0 - 19.91
EXP-ZNO-00098,MCF-7,182.17,12,100.0,87.46,86.39,5.0,116.97,44.61,0 - 20.07
EXP-ZNO-00099,Caco-2,166.22,48,80.51,66.42,62.11,5.0,78.74,39.23,0 - 17.65
EXP-ZNO-00100,CHO,178.96,24,73.12,67.31,57.8,11.46,69.89,55.0,0 - 24.75
EXP-ZNO-00101,Caco-2,28.3,6,8.13,14.86,18.08,81.86,14.86,81.23,0 - 36.55
EXP-ZNO-00102,PC12,41.68,48,61.23,44.97,46.78,43.79,62.23,31.38,0 - 14.12
EXP-ZNO-00103,HeLa,81.17,12,50.74,43.05,39.89,42.05,51.56,57.36,0 - 25.81
EXP-ZNO-00104,HEK293,144.45,6,47.45,43.22,38.28,35.06,46.06,97.47,0 - 43.86
EXP-ZNO-00105,HepG2,97.01,72,85.2,73.19,70.35,5.81,89.95,28.59,0 - 12.87
EXP-ZNO-00106,MCF-7,69.2,72,84.23,83.29,80.04,14.02,105.42,23.83,0 - 10.72
EXP-ZNO-00107,Jurkat,163.91,24,100.0,83.49,80.87,8.73,117.38,30.0,0 - 13.5
EXP-ZNO-00108,HeLa,158.11,72,86.07,71.5,68.33,7.9,84.24,30.64,0 - 13.79
EXP-ZNO-00109,HeLa,138.61,72,69.36,66.38,64.6,11.22,77.91,30.64,0 - 13.79
EXP-ZNO-00110,NIH-3T3,38.92,6,7.87,12.65,12.03,82.75,11.12,105.59,0 - 47.52
EXP-ZNO-00111,HEK293,64.16,24,32.37,36.71,29.31,49.43,35.41,60.0,0 - 27.0
EXP-ZNO-00112,CHO,107.91,6,44.1,26.7,35.76,46.72,40.35,89.35,0 - 40.21
EXP-ZNO-00113,MCF-7,174.08,24,100.0,85.51,80.51,6.24,114.73,35.0,0 - 15.75
EXP-ZNO-00114,Jurkat,196.82,48,100.0,97.85,84.6,5.31,123.13,23.54,0 - 10.59
EXP-ZNO-00115,HeLa,93.73,24,70.24,65.27,57.03,20.5,72.14,45.0,0 - 20.25
EXP-ZNO-00116,Jurkat,78.63,6,80.7,69.34,63.97,29.87,92.56,48.74,0 - 21.93
EXP-ZNO-00117,CHO,180.79,24,66.21,62.19,55.71,10.96,67.9,55.0,0 - 24.75
EXP-ZNO-00118,Jurkat,191.48,6,98.52,80.76,81.18,12.68,113.95,48.74,0 - 21.93
EXP-ZNO-00119,Jurkat,119.66,24,87.62,94.86,84.89,14.08,113.68,30.0,0 - 13.5
EXP-ZNO-00120,Jurkat,179.04,6,100.0,80.6,77.96,11.97,114.14,48.74,0 - 21.93
EXP-ZNO-00121,Jurkat,191.15,24,100.0,98.95,85.25,5.73,123.19,30.0,0 - 13.5
EXP-ZNO-00122,HepG2,144.82,24,79.53,72.64,62.34,10.85,84.76,42.0,0 - 18.9
EXP-ZNO-00123,NIH-3T3,170.32,72,62.0,51.65,51.06,15.91,55.88,44.25,0 - 19.91
EXP-ZNO-00124,HeLa,173.7,24,74.25,65.56,59.86,10.42,78.45,45.0,0 - 20.25
EXP-ZNO-00125,Jurkat,136.19,72,100.0,92.74,89.7,5.41,123.06,20.42,0 - 9.19
EXP-ZNO-00126,MCF-7,111.46,48,100.0,88.19,74.5,8.37,112.77,27.46,0 - 12.36
EXP-ZNO-00127,CHO,126.98,12,57.65,48.52,48.22,26.03,56.72,70.1,0 - 31.55
EXP-ZNO-00128,NIH-3T3,157.87,72,56.47,54.66,51.49,13.28,56.46,44.25,0 - 19.91
EXP-ZNO-00129,HepG2,12.06,6,0.0,9.68,7.93,93.85,6.0,68.23,0 - 30.7
EXP-ZNO-00130,PC12,32.21,12,29.86,31.06,25.07,69.26,34.23,50.98,0 - 22.94
EXP-ZNO-00131,HEK293,154.68,12,47.39,46.35,48.6,24.19,52.38,76.47,0 - 34.41
EXP-ZNO-00132,MCF-7,40.47,72,73.97,58.76,66.33,32.98,83.83,23.83,0 - 10.72
EXP-ZNO-00133,CHO,37.51,48,34.9,30.35,28.79,57.36,33.45,43.15,0 - 19.42
EXP-ZNO-00134,NIH-3T3,193.52,48,57.36,50.36,53.48,7.75,58.54,51.0,0 - 22.95
EXP-ZNO-00135,Jurkat,32.58,6,29.79,38.29,35.21,67.78,43.02,48.74,0 - 21.93
EXP-ZNO-00136,MCF-7,139.15,24,95.48,82.47,75.34,11.94,108.5,35.0,0 - 15.75
EXP-ZNO-00137,CHO,48.79,6,20.06,22.08,12.16,76.52,18.8,89.35,0 - 40.21
EXP-ZNO-00138,HeLa,16.18,72,24.3,28.72,22.86,70.09,27.55,30.64,0 - 13.79
EXP-ZNO-00139,MCF-7,8.72,12,13.02,10.33,0.52,94.15,8.95,44.61,0 - 20.07
EXP-ZNO-00140,CHO,125.25,12,59.82,55.57,44.34,28.64,56.37,70.1,0 - 31.55
EXP-ZNO-00141,HEK293,156.87,12,53.21,43.48,46.5,25.13,52.34,76.47,0 - 34.41
EXP-ZNO-00142,Jurkat,123.34,72,96.87,94.62,87.58,5.0,122.47,20.42,0 - 9.19
EXP-ZNO-00143,NIH-3T3,32.75,24,17.75,18.59,13.28,68.94,19.09,65.0,0 - 29.25
EXP-ZNO-00144,HepG2,168.17,6,66.67,64.64,58.08,24.07,73.19,68.23,0 - 30.7
EXP-ZNO-00145,HEK293,8.5,48,8.25,0.0,4.48,97.91,2.86,47.08,0 - 21.18
EXP-ZNO-00146,MCF-7,84.63,48,82.37,83.41,77.17,16.54,102.86,27.46,0 - 12.36
EXP-ZNO-00147,HeLa,155.31,24,75.21,76.31,58.67,5.0,82.79,45.0,0 - 20.25
EXP-ZNO-00148,HepG2,87.71,72,74.44,74.07,69.51,12.8,84.03,28.59,0 - 12.87
EXP-ZNO-00149,HEK293,19.5,12,10.76,4.76,5.46,90.91,7.0,76.47,0 - 34.41
EXP-ZNO-00150,CHO,193.98,48,71.59,56.79,60.61,5.0,71.49,43.15,0 - 19.42
EXP-ZNO-00151,Jurkat,90.16,6,78.19,67.05,71.05,26.55,95.0,48.74,0 - 21.93
EXP-ZNO-00152,NIH-3T3,95.19,48,48.42,44.81,39.18,31.32,45.3,51.0,0 - 22.95
EXP-ZNO-00153,HEK293,197.35,12,60.49,51.18,47.45,17.1,58.09,76.47,0 - 34.41
EXP-ZNO-00154,NIH-3T3,101.69,6,32.23,30.71,16.71,54.64,28.99,105.59,0 - 47.52
EXP-ZNO-00155,MCF-7,106.68,48,94.35,78.3,74.35,13.46,106.3,27.46,0 - 12.36
EXP-ZNO-00156,HepG2,132.5,12,72.11,63.57,59.23,20.09,76.44,53.53,0 - 24.09
EXP-ZNO-00157,HeLa,23.07,48,29.43,27.65,17.02,67.76,28.71,35.31,0 - 15.89
EXP-ZNO-00158,MCF-7,121.19,12,85.82,76.21,70.46,17.73,100.37,44.61,0 - 20.07
EXP-ZNO-00159,HEK293,81.13,12,43.51,38.74,32.97,43.08,40.73,76.47,0 - 34.41
EXP-ZNO-00160,HeLa,66.01,6,40.96,23.47,31.72,59.28,36.83,73.1,0 - 32.9
EXP-ZNO-00161,Jurkat,47.89,6,57.58,47.75,50.12,48.51,67.52,48.74,0 - 21.93
EXP-ZNO-00162,Jurkat,108.7,24,100.0,84.17,84.85,5.0,120.71,30.0,0 - 13.5
EXP-ZNO-00163,Caco-2,143.24,12,68.9,57.0,50.17,19.21,66.74,63.73,0 - 28.68
EXP-ZNO-00164,HEK293,96.1,72,59.23,55.39,57.23,15.65,60.28,40.85,0 - 18.38
EXP-ZNO-00165,A549,122.26,12,73.61,67.63,65.51,23.98,87.24,48.43,0 - 21.79
EXP-ZNO-00166,PC12,37.32,72,53.99,47.09,46.19,42.06,61.82,27.23,0 - 12.25
EXP-ZNO-00167,HepG2,75.02,6,57.66,43.33,40.83,46.81,53.29,68.23,0 - 30.7
EXP-ZNO-00168,CHO,72.47,12,39.97,28.67,33.17,49.14,38.43,70.1,0 - 31.55
EXP-ZNO-00169,HEK293,146.53,12,54.06,48.02,41.86,28.42,51.07,76.47,0 - 34.41
EXP-ZNO-00170,NIH-3T3,147.51,6,44.64,42.07,40.14,37.02,42.2,105.59,0 - 47.52
EXP-ZNO-00171,PC12,78.49,6,44.11,47.49,44.0,51.59,53.76,64.98,0 - 29.24
EXP-ZNO-00172,HeLa,198.26,24,81.71,65.03,61.32,11.53,79.53,45.0,0 - 20.25
EXP-ZNO-00173,CHO,178.89,72,70.05,59.82,59.93,5.03,71.51,37.44,0 - 16.85
EXP-ZNO-00174,MCF-7,160.17,48,91.93,87.76,83.33,7.62,112.8,27.46,0 - 12.36
EXP-ZNO-00175,HepG2,65.2,48,79.34,65.57,57.71,18.6,78.81,32.95,0 - 14.83
EXP-ZNO-00176,PC12,192.35,48,90.87,76.58,68.98,9.88,97.83,31.38,0 - 14.12
EXP-ZNO-00177,Jurkat,69.84,48,89.62,81.83,81.04,14.94,110.35,23.54,0 - 10.59
EXP-ZNO-00178,NIH-3T3,124.91,48,53.41,48.68,44.54,19.64,51.88,51.0,0 - 22.95
EXP-ZNO-00179,HepG2,141.89,48,76.86,76.08,66.04,5.65,88.06,32.95,0 - 14.83
EXP-ZNO-00180,HEK293,103.38,12,46.36,38.24,35.12,40.47,42.53,76.47,0 - 34.41
EXP-ZNO-00181,A549,173.68,12,87.21,77.91,69.93,12.51,100.04,48.43,0 - 21.79
EXP-ZNO-00182,MCF-7,69.55,24,79.46,68.72,65.47,25.86,91.36,35.0,0 - 15.75
EXP-ZNO-00183,HepG2,184.59,6,76.57,71.71,57.62,11.29,83.02,68.23,0 - 30.7
EXP-ZNO-00184,Jurkat,73.82,72,96.35,78.52,77.23,13.0,111.97,20.42,0 - 9.19
EXP-ZNO-00185,HEK293,55.91,12,22.55,19.06,18.9,61.52,25.03,76.47,0 - 34.41
EXP-ZNO-00186,Jurkat,97.18,12,93.85,75.87,67.54,20.04,104.34,38.24,0 - 17.21
EXP-ZNO-00187,Jurkat,15.39,24,28.67,20.13,26.37,76.04,32.1,30.0,0 - 13.5
EXP-ZNO-00188,CHO,46.91,6,17.8,20.82,17.61,74.08,20.06,89.35,0 - 40.21
EXP-ZNO-00189,MCF-7,177.38,72,96.26,82.76,84.75,5.0,114.85,23.83,0 - 10.72
EXP-ZNO-00190,HepG2,2.7,72,0.0,1.03,3.92,96.26,2.74,28.59,0 - 12.87
EXP-ZNO-00191,Caco-2,43.43,72,46.97,37.62,41.88,42.42,47.6,34.04,0 - 15.32
EXP-ZNO-00192,Caco-2,97.9,72,65.62,60.41,62.09,14.36,70.6,34.04,0 - 15.32
EXP-ZNO-00193,Jurkat,79.2,72,100.0,94.24,82.74,7.08,120.91,20.42,0 - 9.19
EXP-ZNO-00194,HeLa,186.1,12,71.31,65.37,65.0,12.76,77.44,57.36,0 - 25.81
EXP-ZNO-00195,CHO,90.3,24,57.85,47.02,42.49,29.67,54.15,55.0,0 - 24.75
EXP-ZNO-00196,CHO,149.37,6,52.42,35.71,41.83,34.48,49.39,89.35,0 - 40.21
EXP-ZNO-00197,HEK293,194.16,24,70.51,58.44,53.55,9.36,64.79,60.0,0 - 27.0
EXP-ZNO-00198,HeLa,195.21,6,68.1,66.56,58.82,15.74,74.56,73.1,0 - 32.9
EXP-ZNO-00199,PC12,25.48,72,50.08,41.16,45.59,52.17,53.99,27.23,0 - 12.25
EXP-ZNO-00200,MCF-7,9.23,24,5.95,7.62,5.56,90.98,9.6,35.0,0 - 15.75
EXP-ZNO-00201,PC12,33.15,6,24.64,29.05,16.8,74.61,28.18,64.98,0 - 29.24
EXP-ZNO-00202,Caco-2,52.06,6,21.99,18.28,20.64,76.18,21.04,81.23,0 - 36.55
EXP-ZNO-00203,Caco-2,11.24,48,11.42,3.02,6.81,87.32,9.59,39.23,0 - 17.65
EXP-ZNO-00204,NIH-3T3,163.65,48,53.27,54.0,50.95,12.89,55.96,51.0,0 - 22.95
EXP-ZNO-00205,NIH-3T3,148.81,72,61.65,51.58,43.89,15.23,55.23,44.25,0 - 19.91
EXP-ZNO-00206,PC12,148.47,6,80.36,69.61,63.57,20.29,87.29,64.98,0 - 29.24
EXP-ZNO-00207,MCF-7,62.53,24,81.57,69.83,64.15,29.04,89.86,35.0,0 - 15.75
EXP-ZNO-00208,HEK293,152.32,12,50.22,46.62,42.54,24.37,52.05,76.47,0 - 34.41
EXP-ZNO-00209,CHO,199.27,24,74.53,64.87,54.34,5.66,71.96,55.0,0 - 24.75
EXP-ZNO-00210,NIH-3T3,6.3,72,1.2,0.0,0.0,95.82,1.86,44.25,0 - 19.91
EXP-ZNO-00211,Caco-2,102.27,48,67.56,53.54,53.16,19.97,66.06,39.23,0 - 17.65
EXP-ZNO-00212,MCF-7,54.33,24,75.31,65.72,55.75,34.06,82.82,35.0,0 - 15.75
EXP-ZNO-00213,HepG2,157.83,72,74.59,64.24,60.32,14.49,80.17,28.59,0 - 12.87
EXP-ZNO-00214,HEK293,119.85,6,43.8,43.13,30.94,42.57,41.3,97.47,0 - 43.86
EXP-ZNO-00215,HepG2,77.07,48,67.48,57.35,57.61,22.2,73.12,32.95,0 - 14.83
EXP-ZNO-00216,A549,11.7,72,29.85,22.05,16.17,72.81,30.36,25.87,0 - 11.64
EXP-ZNO-00217,HEK293,87.32,6,30.12,28.8,25.59,55.61,30.92,97.47,0 - 43.86
EXP-ZNO-00218,HEK293,191.34,6,51.41,49.75,44.61,23.91,53.11,97.47,0 - 43.86
EXP-ZNO-00219,CHO,54.75,12,24.69,23.59,22.37,64.98,26.41,70.1,0 - 31.55
EXP-ZNO-00220,HeLa,69.79,24,55.03,50.71,45.32,35.67,57.58,45.0,0 - 20.25
EXP-ZNO-00221,PC12,84.05,12,67.51,65.47,55.26,26.39,78.68,50.98,0 - 22.94
EXP-ZNO-00222,Jurkat,121.9,72,100.0,91.13,84.82,5.0,122.06,20.42,0 - 9.19
EXP-ZNO-00223,PC12,170.2,6,72.2,65.28,61.57,24.93,81.65,64.98,0 - 29.24
EXP-ZNO-00224,HepG2,97.2,12,69.49,49.86,51.22,26.19,69.26,53.53,0 - 24.09
EXP-ZNO-00225,Caco-2,12.92,48,6.79,8.07,5.84,88.38,8.79,39.23,0 - 17.65
EXP-ZNO-00226,Caco-2,33.36,72,33.33,27.06,30.26,54.92,35.91,34.04,0 - 15.32
EXP-ZNO-00227,NIH-3T3,174.18,48,66.49,55.28,51.31,7.41,60.47,51.0,0 - 22.95
EXP-ZNO-00228,HepG2,90.61,48,81.25,67.67,66.8,8.04,86.52,32.95,0 - 14.83
EXP-ZNO-00229,PC12,158.67,48,87.84,83.57,74.01,8.31,100.11,31.38,0 - 14.12
EXP-ZNO-00230,PC12,139.33,48,96.98,80.77,75.26,5.0,103.85,31.38,0 - 14.12
EXP-ZNO-00231,CHO,146.66,72,61.98,61.72,53.84,14.49,65.24,37.44,0 - 16.85
EXP-ZNO-00232,NIH-3T3,145.17,72,55.55,49.98,49.96,13.77,55.37,44.25,0 - 19.91
EXP-ZNO-00233,NIH-3T3,37.89,24,26.37,18.11,14.85,71.86,19.43,65.0,0 - 29.25
EXP-ZNO-00234,Jurkat,51.24,72,84.9,68.83,70.03,23.58,98.82,20.42,0 - 9.19
EXP-ZNO-00235,CHO,20.58,12,8.78,2.98,11.7,85.06,10.29,70.1,0 - 31.55
EXP-ZNO-00236,HepG2,168.37,6,73.1,61.42,61.25,17.99,77.73,68.23,0 - 30.7
EXP-ZNO-00237,MCF-7,63.33,12,71.09,61.44,58.27,32.25,82.56,44.61,0 - 20.07
EXP-ZNO-00238,NIH-3T3,152.75,24,49.26,44.59,43.16,24.53,48.6,65.0,0 - 29.25
EXP-ZNO-00239,Jurkat,12.29,24,16.33,11.76,10.76,83.85,19.13,30.0,0 - 13.5
EXP-ZNO-00240,NIH-3T3,82.85,24,46.05,35.48,32.37,40.58,39.28,65.0,0 - 29.25
EXP-ZNO-00241,PC12,58.8,6,47.38,36.82,38.07,55.17,49.59,64.98,0 - 29.24
EXP-ZNO-00242,CHO,108.37,72,63.26,56.98,52.34,15.48,64.18,37.44,0 - 16.85
EXP-ZNO-00243,Jurkat,15.31,24,27.35,26.96,21.08,72.88,34.11,30.0,0 - 13.5
EXP-ZNO-00244,CHO,167.71,72,62.98,64.52,55.38,8.83,68.55,37.44,0 - 16.85
EXP-ZNO-00245,NIH-3T3,13.2,72,6.41,6.96,6.36,92.14,5.77,44.25,0 - 19.91
EXP-ZNO-00246,CHO,182.18,48,72.24,60.67,58.44,5.0,71.83,43.15,0 - 19.42
EXP-ZNO-00247,HepG2,126.45,72,81.84,66.34,66.41,8.64,86.06,28.59,0 - 12.87
EXP-ZNO-00248,A549,190.13,48,92.92,87.85,74.83,11.3,104.8,29.81,0 - 13.42
EXP-ZNO-00249,HepG2,1.08,6,0.8,2.46,0.0,98.23,1.48,68.23,0 - 30.7
EXP-ZNO-00250,HeLa,39.62,24,46.32,38.48,31.27,49.08,45.19,45.0,0 - 20.25
